Original_Comment,Predicted_Sentiment
kudos to the editing team of icc youtube feels like a thriller with bumrah as the lead,positive
stil babar azam said shaheen over bhumrah,neutral
when beats go down boom is ready,neutral
no one is talking about rishabh pant,neutral
i switched off the tv r slept r after some time heard firecrackers bursting woke up watched the highlights,neutral
always remember when jasprit bumrah is celebrating a wicket than india is back in the game,neutral
not sure why icc did not posted the indiapak highlightthey posted for many other matches,neutral
tuya mayke zav hrande,neutral
i love this video will keep coming back for it always,positive
pakistan bhickmangi cricket team sala pel diya tumlogo ko huddd bhickmanga pakistan,neutral
never underestimate the power of india,positive
edit and atmosphere,neutral
rip babers english,negative
mindblowing video,positive
pak ko pel diya firse,neutral
lets go bumrah,positive
that walk has been rest in history,neutral
where can i get thw full highlights,neutral
india army,neutral
pakistani dekh tera yehi aukat hai abu se g marana,neutral
hindustan jindabad tha jindabad hai or jindabad rahe ga,neutral
father always father,positive
victory snatched from jaws of defeat,negative
boom boom bumrah boom boom bumrah,positive
what if pak will bat first then,neutral
naseem,neutral
this is cinema perfect cinematography art,positive
mere ko india and pak ke match ke do din bad pta chala ki india jeet gya hai kyuki main india ka batting dekh kar tv band kar diya thaaa main match hi nahi dekha main soch rha tha ki main aaj ke bad cricket hi ni dekhunga,negative
terrorism khar tm kro,neutral
india pakistan mat ladoga bharat mata sbki he,neutral
good game from both side,positive
how,neutral
when coming generation reads cricket history theyd know once there was a bumrah,neutral
where can i find that piano music,neutral
bbaap se panga kar denge langab,neutral
jasprit bumrah owning mohmmad rizwan is becoming my fav genre,positive
jeeta hua match haarna koi pakistan se seekhe,neutral
why is ravi shastri such a clown,negative
gooslim ancers,neutral
i am indian but i feel for naseem and pak,neutral
i really love india from afghanistan we are brothers always forever,positive
india vs pakistan india win,neutral
zukham pai namak,neutral
why are there no highlights,negative
pakistan will have to born again as a new nation with new people to beat india in this lifetime because the current ones are as good as nothing,negative
bhumrah on fire,positive
always motivation,positive
east or west india is the best,positive
pakistani bowlinggtindian bowlingpakistan battingltindia battingpakistan wouldve won if pakistan choose better players for the match so toxic indian fans dont come out,neutral
naseem shah performance was stunning he doesnt deserve this kind of stunning so sad for him but inshallah we will won the next match,positive
heck chadarmod fakistan,neutral
first india played like bumrah was balling to them then bumrah balled to pakistan,neutral
the introduction of boom boom bumrah is,neutral
its fascinating seeing bumrah come in and change the trajectory of the game everytime,positive
the music was perfect when bumrah came,positive
jassi tumse better koi nahi just a miracle my boyso much love you,positive
this not a rivalry anymore its now ind vs aus pakistan is just like any other apponent for us like sri lanka and bangladesh,neutral
full of suspense and fight for winlots of people had bp high during match awesome matchboth played well rohit and his team controlled pressure and won the match,positive
unpopular opinion prolly gonna get abused but the ball which bowled rizwan was just an average ball it was rizwans poor shot selection that got him out also his ego too my man was trying to hit six on bumrahs over on new york pitch,negative
indian power,neutral
a faith winning match whenever you are down you need a bumrah in life,neutral
im zimbabar or mera baap merko hamesha pelta ha king kohli bohot pelta ha merko or mere bhikarisatan ko,neutral
pakistan once again snatches defeat from the jaws of victory,neutral
virat kohli khos ho app,neutral
whoever edited this video is a genius what a wonderful montage created it looked like a movie choice of music scenes everything is awesome,positive
one day will come after toss n indias batting pak will say we loose,neutral
never think again winning pakistan against indian hai hind,negative
i love how they showed india as the underdogs typical india love india team from,positive
highlights with opera music and jhankar beats,neutral
that symphony,positive
icc hired aussie choreographer,neutral
razo jihadan,neutral
the way they show bumrah,neutral
bumrah supremacy,neutral
how to see full highlights,neutral
father alsways a father,neutral
the bumrah entry,neutral
pakistan born to loose,negative
pak is not good team shadow of old pak team,negative
lunnn hai pakistan,neutral
harke bhi jitne balo ko india kahte hai,neutral
we won world cup,positive
india ne pakistan ko phir se hara diya allah hu aqbar,neutral
music,neutral
where are highlights india vs pakistan boycott star sports,negative
who is here after india world cup win just to enjoy,positive
congratulations india love from pakistan as a note pakistan did the best against you throughout this entire world cup,positive
tel laga do dabur ka naam mita do zimbabar ka,neutral
match kaha milega,neutral
father is always be a father,positive
i cant lie this video goes in so hard incredible cinematic,positive
woah icc literally rubbing salt on pakistans wounds right now cant believe how controlled the icc is,negative
the most breathtaking match for both team fans believe me or not india deserves that win cus to promote cricket in the whole world,positive
ok but why was shastri shouting,neutral
baap to baap rahega baap to baap rahega,neutral
bumrah bulldozed rizwan there was nothing left,negative
babar is also father of india,neutral
after loosing against india in wc match pakistan team ke mann mein kya chal raha hai quotwhen we play good we loose when we dont play good we loosequot pata nahi ye kaisa game hai,negative
pakistan zanbad,neutral
good game,positive
whenever india needs wicket bumrah delivers,neutral
bumrah isnt our only bowler show others too,neutral
congratulations to india and goodluck to both india and afghanistan for rest of the tournamentr indi block sickliar chamchas along with their german father were shattered when their most favoured nation pak lost to usa more shattered when they lost to india were devastated when pak was out from tournamentr they were heart broken the moment india qualified for semisr indi block does not want anything good for india as long as ndabjp in power and as long as jay shah is in bc,positive
one for the history books,neutral
successfully qualified for karachi bus stand zimbabar and co,positive
india showed whos the real b p once again,neutral
jasprit bumrah is the most valuable cricketer rn itw across all formats forever grateful to god for making him indian,positive
wow pasikan,neutral
thats cinema,neutral
cant wait to see jomboy cover this game,positive
therw is no proper hilights of this match there are highlights for every match icc want to make vies of thi shit video and they took down all videos,negative
bumrahs entry in the video is epic,positive
india will reach another semis and after that no one knows what happens,neutral
rohit ko india team se retirement le leni chahiye hamesha hi performance nhi krta khas kr crucial moments pe or team india me apni as a senior role kbi play nhi krta hamesha irresponsible tarike se kelta hai,neutral
jassi jesa koi nhi,neutral
music inclusion genius work,positive
pakistan se lovie he,neutral
pakistani vs india ka video ko check ka la ak comment kar,neutral
bring the highlights,neutral
where are the freaking highlights this is a music show,negative
only babar azam naseem shahand shaheen afridi player very well,neutral
yay team shokhiyan maar sakti hai bus or match ki baari sab ka allah hi hafiz hota hai,neutral
babar azam played better then other players but it is so embarrassing we lose this match wo bhi india se,negative
surrender by surrenderistan porkisstan,neutral
kaisa lagaa hamaare mazaak,neutral
india vs pakistan was the final of this world cup,neutral
why couldnt you make proper highlights,negative
bhai editor kha h aja bharat ratna dilwata hu,neutral
aukat dikha di es world cup ne aj kl k batsman ki ab pta chal rha hoga why sachin tendulkar is god of cricketvirat kohli is nothing as compared to sachin,neutral
pakistan spectators should also bring katora in their hand shayad kuch mil jaye jeet to mili nahi,neutral
worst higlightsshow us the matchnot audiencethis is not netflix,negative
congratulations to india i hope the sikhs and minorities in pakistan are safe after this match,positive
why cant india win any finals if they play so good,neutral
imagine the smell,neutral
indians are shameless if they still feel sports are separate from politicswhy is india even playing pak in international tournaments the pakis have never separated cricket from their jihadism politics imran once said let the war be be on the field to show who wins recently waqar younus congratulated rizwan on live tv for doing namaz on field to rub it on majority hindus for pak antiindia rehtoric is only way their army stays in control and own the nations resources indians are shameless if they still feel sports are separate from politics,negative
wasting money on tickets and pakistani team enjoying on our tax money with highest security shame,negative
seeing pakistani all pakistani batsmans i personally think they should start focusing on their fitness not on trying different foods,neutral
bahia pakistan chiting karha hai,neutral
icc dropped a cinema,neutral
humare desh ki beauty jha hindu muslim sikh and others r together as team of nations,neutral
aa gya swad,neutral
ravi shastri commentry,neutral
india always fathers of pakistan,positive
bye bye shadab khan bye bye fakhar zaman bye bye pakistan,neutral
the entry of bumrah oh my god,positive
as indian we didnt batted well the score was below par,negative
im indian we are champion,positive
pakistanis be like mere do do baap,neutral
bumrah isnt only chucking bowler but also handicapped person,negative
i am very happy that indian win every indian people is like our brothers from,positive
i hate india,negative
pakistan ke dil ke arman asuon mai beh gaye,neutral
india vs pakistan india vs naseem shah,neutral
video editing skills,neutral
who will enjoy till last breath,positive
who is enjoying now,neutral
who is enjoying with every breath,positive
good atmosphere good weather good crowd no rain but earthquake only away otherwise all happened in the wc jai icc wood bat and stone ball in rip,positive
icc is doing pretty good job with the dramatic background score,positive
bumrahs intro gtgtgt,neutral
this guys missed best caught behind by sky while bumrah bowls to babar,negative
we indians need to stop watching pakistani vloggers video they get money from youtube from our indian population views,negative
vivaldi winter music in the background at the ending always a love for violin lovers,positive
even foreigners were there to support india,positive
last over is always is stressful well done to arshdeep as well specially bumrah and bowling unit,positive
many tvs broke that day fr,negative
apart from bumrah axar hardik siraj arshdeep also bowled well and axar siraj arshdeep contributed with the bat too so it was a teamwork no doubt,positive
bbumrah is a gem and we indians are blessed to have such a cricketer representing our nationb kohli didnt perform this time it was a rare failure but bumrah did and india won against pak again,positive
